9 : 9, Unable to create polyhedron or calculate h*, NULL, time: 0.8121199607849121s
5 1 1 1 1 : 3 1 1 1 1 1 1, x^3 + 6*x^2 + 6*x + 1, 8, time: 0.5544629096984863s
5 1 1 1 1 : 2 2 2 2 1, 1, 0, time: 0.2262248992919922s
5 1 1 1 1 : 2 2 2 1 1 1, 1, 4, time: 0.3512289524078369s
5 1 1 1 1 : 2 2 1 1 1 1 1, x^3 + 6*x^2 + 6*x + 1, 8, time: 0.5630748271942139s
5 1 1 1 1 : 2 1 1 1 1 1 1 1, x^6 + 22*x^5 + 113*x^4 + 190*x^3 + 113*x^2 + 22*x + 1, 12, time: 1.174208164215088s
4 4 1 : 4 4 1, 1, 0, time: 0.08308291435241699s
4 4 1 : 4 3 2, 1, 0, time: 0.08135199546813965s
4 4 1 : 4 3 1 1, 1, 1, time: 0.13135290145874023s
4 4 1 : 4 2 2 1, 1, 1, time: 0.13334298133850098s
4 4 1 : 4 2 1 1 1, 1, 2, time: 0.19530010223388672s
4 4 1 : 4 1 1 1 1 1, 1, 3, time: 0.30731987953186035s
4 4 1 : 3 3 3, 1, 0, time: 0.08343911170959473s
4 4 1 : 3 3 2 1, 1, 2, time: 0.1305677890777588s
4 4 1 : 3 3 1 1 1, x^2 + x + 1, 4, time: 0.20125293731689453s
4 4 1 : 3 2 2 2, x + 1, 2, time: 0.13504695892333984s
4 4 1 : 3 2 2 1 1, x^2 + 2*x + 1, 4, time: 0.19971704483032227s
4 4 1 : 3 2 1 1 1 1, x^3 + 9*x^2 + 5*x + 1, 6, time: 0.30916309356689453s
4 4 1 : 3 1 1 1 1 1 1, x^4 + 16*x^3 + 36*x^2 + 10*x + 1, 8, time: 0.5343220233917236s
4 4 1 : 2 2 2 2 1, 4*x^2 + 5*x + 1, 4, time: 0.19399309158325195s
4 4 1 : 2 2 2 1 1 1, 8*x^3 + 25*x^2 + 10*x + 1, 6, time: 0.30941200256347656s
4 4 1 : 2 2 1 1 1 1 1, 51*x^4 + 161*x^3 + 121*x^2 + 20*x + 1, 8, time: 0.5644688606262207s
4 4 1 : 2 1 1 1 1 1 1 1, 315*x^5 + 1415*x^4 + 1487*x^3 + 468*x^2 + 38*x + 1, 10, time: 3.7220609188079834s
4 3 2 : 4 3 2, 1, 0, time: 0.08484196662902832s
4 3 2 : 4 3 1 1, 1, 0, time: 0.1341390609741211s
4 3 2 : 4 2 2 1, 1, 1, time: 0.13603711128234863s
4 3 2 : 4 2 1 1 1, 1, 2, time: 0.2083570957183838s
4 3 2 : 4 1 1 1 1 1, x^2 + x + 1, 3, time: 0.31813693046569824s
4 3 2 : 3 3 3, 1, 1, time: 0.0826120376586914s
4 3 2 : 3 3 2 1, 1, 3, time: 0.13114500045776367s
4 3 2 : 3 3 1 1 1, 1, 5, time: 0.1955721378326416s
4 3 2 : 3 2 2 2, 2*x + 1, 3, time: 0.1293010711669922s
4 3 2 : 3 2 2 1 1, 4*x^2 + 4*x + 1, 5, time: 0.20085787773132324s
4 3 2 : 3 2 1 1 1 1, 10*x^3 + 27*x^2 + 9*x + 1, 7, time: 0.3186380863189697s
4 3 2 : 3 1 1 1 1 1 1, 120*x^4 + 264*x^3 + 150*x^2 + 20*x + 1, 9, time: 0.5702459812164307s
4 3 2 : 2 2 2 2 1, 8*x^3 + 21*x^2 + 10*x + 1, 5, time: 0.1990199089050293s
4 3 2 : 2 2 2 1 1 1, 2*x^5 + 41*x^4 + 140*x^3 + 110*x^2 + 20*x + 1, 7, time: 0.3133549690246582s
4 3 2 : 2 2 1 1 1 1 1, 40*x^6 + 540*x^5 + 1715*x^4 + 1648*x^3 + 496*x^2 + 40*x + 1, 9, time: 0.5832600593566895s
4 3 2 : 2 1 1 1 1 1 1 1, 63*x^8 + 1974*x^7 + 15393*x^6 + 40431*x^5 + 40290*x^4 + 15348*x^3 + 2061*x^2 + 79*x + 1, 11, time: 4.872046947479248s
4 3 1 1 : 4 3 1 1, 1, 0, time: 0.13446593284606934s
4 3 1 1 : 4 2 2 1, 1, 0, time: 0.1325070858001709s
4 3 1 1 : 4 2 1 1 1, 1, 2, time: 0.20603108406066895s
4 3 1 1 : 4 1 1 1 1 1, x + 1, 4, time: 0.31464505195617676s
4 3 1 1 : 3 3 3, 1, 1, time: 0.08260607719421387s
4 3 1 1 : 3 3 2 1, 1, 1, time: 0.1305408477783203s
4 3 1 1 : 3 3 1 1 1, 1, 5, time: 0.19753098487854004s
4 3 1 1 : 3 2 2 2, 1, 2, time: 0.12764406204223633s
4 3 1 1 : 3 2 2 1 1, 2*x + 1, 5, time: 0.21077609062194824s
4 3 1 1 : 3 2 1 1 1 1, 6*x^4 + 22*x^3 + 28*x^2 + 9*x + 1, 8, time: 0.32722902297973633s
4 3 1 1 : 3 1 1 1 1 1 1, 10*x^6 + 180*x^5 + 615*x^4 + 616*x^3 + 219*x^2 + 24*x + 1, 11, time: 0.5697479248046875s
4 3 1 1 : 2 2 2 2 1, 9*x^2 + 6*x + 1, 5, time: 0.21282601356506348s
4 3 1 1 : 2 2 2 1 1 1, 3*x^5 + 45*x^4 + 122*x^3 + 96*x^2 + 18*x + 1, 8, time: 0.3316001892089844s
