10 : 10, Unable to create polyhedron or calculate h*, NULL, time: 0.6472749710083008s
7 1 1 1 : 4 3 2 1, Dimension too high, 0, time: 0.09077095985412598s
7 1 1 1 : 4 3 1 1 1, Dimension too high, 3, time: 0.14542293548583984s
7 1 1 1 : 4 2 2 2, Dimension too high, 0, time: 0.0977931022644043s
7 1 1 1 : 4 2 2 1 1, Dimension too high, 3, time: 0.15663599967956543s
7 1 1 1 : 4 2 1 1 1 1, Dimension too high, 6, time: 0.23194003105163574s
7 1 1 1 : 4 1 1 1 1 1 1, Dimension too high, 9, time: 0.3650341033935547s
7 1 1 1 : 3 3 3 1, Dimension too high, 0, time: 0.09140515327453613s
7 1 1 1 : 3 3 2 2, Dimension too high, 0, time: 0.09220385551452637s
7 1 1 1 : 3 3 2 1 1, Dimension too high, 3, time: 0.14246296882629395s
7 1 1 1 : 3 3 1 1 1 1, Dimension too high, 6, time: 0.22455501556396484s
7 1 1 1 : 3 2 2 2 1, Dimension too high, 3, time: 0.14432096481323242s
7 1 1 1 : 3 2 2 1 1 1, Dimension too high, 6, time: 0.22220277786254883s
7 1 1 1 : 3 2 1 1 1 1 1, Dimension too high, 9, time: 0.38923192024230957s
7 1 1 1 : 3 1 1 1 1 1 1 1, Dimension too high, 12, time: 0.640434980392456s
7 1 1 1 : 2 2 2 2 2, Dimension too high, 3, time: 0.14384722709655762s
7 1 1 1 : 2 2 2 2 1 1, Dimension too high, 6, time: 0.22452688217163086s
7 1 1 1 : 2 2 2 1 1 1 1, Dimension too high, 9, time: 0.365109920501709s
7 1 1 1 : 2 2 1 1 1 1 1 1, Dimension too high, 12, time: 0.6322071552276611s
7 1 1 1 : 2 1 1 1 1 1 1 1 1, Dimension too high, 15, time: 1.4283490180969238s
6 4 : 6 4, Dimension too high, 0, time: 0.03501701354980469s
6 4 : 6 3 1, Dimension too high, 0, time: 0.06042218208312988s
6 4 : 6 2 2, Dimension too high, 0, time: 0.05927920341491699s
6 4 : 6 2 1 1, Dimension too high, 0, time: 0.09729504585266113s
6 4 : 6 1 1 1 1, Dimension too high, 0, time: 0.15524077415466309s
6 4 : 5 5, Dimension too high, 0, time: 0.033879995346069336s
6 4 : 5 4 1, Dimension too high, 1, time: 0.05892300605773926s
6 4 : 5 3 2, Dimension too high, 1, time: 0.05940389633178711s
6 4 : 5 3 1 1, Dimension too high, 2, time: 0.09730792045593262s
6 4 : 5 2 2 1, Dimension too high, 2, time: 0.10306882858276367s
6 4 : 5 2 1 1 1, Dimension too high, 3, time: 0.15891599655151367s
6 4 : 5 1 1 1 1 1, Dimension too high, 4, time: 0.24880695343017578s
6 4 : 4 4 2, Dimension too high, 1, time: 0.059947967529296875s
6 4 : 4 4 1 1, Dimension too high, 2, time: 0.09641695022583008s
6 4 : 4 3 3, Dimension too high, 1, time: 0.05958890914916992s
6 4 : 4 3 2 1, Dimension too high, 2, time: 0.09726405143737793s
6 4 : 4 3 1 1 1, Dimension too high, 3, time: 0.15730905532836914s
6 4 : 4 2 2 2, Dimension too high, 2, time: 0.10229301452636719s
6 4 : 4 2 2 1 1, Dimension too high, 3, time: 0.15782809257507324s
6 4 : 4 2 1 1 1 1, Dimension too high, 4, time: 0.26288795471191406s
6 4 : 4 1 1 1 1 1 1, Dimension too high, 5, time: 0.4183049201965332s
6 4 : 3 3 3 1, Dimension too high, 2, time: 0.09673285484313965s
6 4 : 3 3 2 2, Dimension too high, 2, time: 0.09564805030822754s
6 4 : 3 3 2 1 1, Dimension too high, 3, time: 0.16303300857543945s
6 4 : 3 3 1 1 1 1, Dimension too high, 4, time: 0.23792004585266113s
6 4 : 3 2 2 2 1, Dimension too high, 3, time: 0.1559450626373291s
6 4 : 3 2 2 1 1 1, Dimension too high, 4, time: 0.2334270477294922s
6 4 : 3 2 1 1 1 1 1, Dimension too high, 5, time: 0.3767209053039551s
6 4 : 3 1 1 1 1 1 1 1, Dimension too high, 6, time: 0.6462349891662598s
6 4 : 2 2 2 2 2, Dimension too high, 3, time: 0.15766501426696777s
6 4 : 2 2 2 2 1 1, Dimension too high, 4, time: 0.24822592735290527s
6 4 : 2 2 2 1 1 1 1, Dimension too high, 5, time: 0.3748760223388672s
6 4 : 2 2 1 1 1 1 1 1, Dimension too high, 6, time: 0.6525630950927734s
6 4 : 2 1 1 1 1 1 1 1 1, Dimension too high, 7, time: 1.189229965209961s
6 3 1 : 6 3 1, Dimension too high, 0, time: 0.056745052337646484s
6 3 1 : 6 2 2, Dimension too high, 0, time: 0.056509971618652344s
6 3 1 : 6 2 1 1, Dimension too high, 1, time: 0.09139704704284668s
6 3 1 : 6 1 1 1 1, Dimension too high, 2, time: 0.14366602897644043s
6 3 1 : 5 5, Dimension too high, 0, time: 0.03265118598937988s
6 3 1 : 5 4 1, Dimension too high, 0, time: 0.057672977447509766s
6 3 1 : 5 3 2, Dimension too high, 1, time: 0.05722808837890625s
6 3 1 : 5 3 1 1, Dimension too high, 3, time: 0.09136080741882324s
6 3 1 : 5 2 2 1, Dimension too high, 3, time: 0.09142208099365234s
6 3 1 : 5 2 1 1 1, Dimension too high, 5, time: 0.1419370174407959s
6 3 1 : 5 1 1 1 1 1, Dimension too high, 7, time: 0.2231159210205078s
6 3 1 : 4 4 2, Dimension too high, 1, time: 0.05671119689941406s
6 3 1 : 4 4 1 1, Dimension too high, 3, time: 0.09100008010864258s
6 3 1 : 4 3 3, Dimension too high, 1, time: 0.05648088455200195s
6 3 1 : 4 3 2 1, Dimension too high, 3, time: 0.09105110168457031s
6 3 1 : 4 3 1 1 1, Dimension too high, 5, time: 0.1418161392211914s
6 3 1 : 4 2 2 2, Dimension too high, 3, time: 0.09184598922729492s
6 3 1 : 4 2 2 1 1, Dimension too high, 5, time: 0.14458894729614258s
6 3 1 : 4 2 1 1 1 1, Dimension too high, 7, time: 0.22276592254638672s
6 3 1 : 4 1 1 1 1 1 1, Dimension too high, 9, time: 0.40285396575927734s
6 3 1 : 3 3 3 1, Dimension too high, 3, time: 0.09699797630310059s
6 3 1 : 3 3 2 2, Dimension too high, 3, time: 0.10386395454406738s
6 3 1 : 3 3 2 1 1, Dimension too high, 5, time: 0.15593910217285156s
6 3 1 : 3 3 1 1 1 1, Dimension too high, 7, time: 0.22721600532531738s
6 3 1 : 3 2 2 2 1, Dimension too high, 5, time: 0.14827799797058105s
6 3 1 : 3 2 2 1 1 1, Dimension too high, 7, time: 0.22368812561035156s
6 3 1 : 3 2 1 1 1 1 1, Dimension too high, 9, time: 0.36720895767211914s
6 3 1 : 3 1 1 1 1 1 1 1, Dimension too high, 11, time: 0.6564099788665771s
6 3 1 : 2 2 2 2 2, Dimension too high, 5, time: 0.15928006172180176s
6 3 1 : 2 2 2 2 1 1, Dimension too high, 7, time: 0.23303699493408203s
6 3 1 : 2 2 2 1 1 1 1, Dimension too high, 9, time: 0.3798789978027344s
6 3 1 : 2 2 1 1 1 1 1 1, Dimension too high, 11, time: 0.6860730648040771s
6 3 1 : 2 1 1 1 1 1 1 1 1, Dimension too high, 13, time: 1.3236908912658691s
6 2 2 : 6 2 2, Dimension too high, 0, time: 0.06233692169189453s
6 2 2 : 6 2 1 1, Dimension too high, 0, time: 0.10254693031311035s
6 2 2 : 6 1 1 1 1, Dimension too high, 1, time: 0.1614840030670166s
6 2 2 : 5 5, Dimension too high, 0, time: 0.035063982009887695s
6 2 2 : 5 4 1, Dimension too high, -1, time: 0.005754947662353516s
6 2 2 : 5 3 2, Dimension too high, 0, time: 0.06192493438720703s
6 2 2 : 5 3 1 1, Dimension too high, 0, time: 0.1013801097869873s
6 2 2 : 5 2 2 1, Dimension too high, 2, time: 0.10148096084594727s
6 2 2 : 5 2 1 1 1, Dimension too high, 4, time: 0.1590731143951416s
6 2 2 : 5 1 1 1 1 1, Dimension too high, 6, time: 0.24768996238708496s
6 2 2 : 4 4 2, Dimension too high, 0, time: 0.05938982963562012s
6 2 2 : 4 4 1 1, Dimension too high, 0, time: 0.09622597694396973s
6 2 2 : 4 3 3, Dimension too high, 0, time: 0.058860063552856445s
6 2 2 : 4 3 2 1, Dimension too high, 2, time: 0.09573101997375488s
6 2 2 : 4 3 1 1 1, Dimension too high, 4, time: 0.15493011474609375s
6 2 2 : 4 2 2 2, Dimension too high, 2, time: 0.09744000434875488s
6 2 2 : 4 2 2 1 1, Dimension too high, 4, time: 0.1535179615020752s
6 2 2 : 4 2 1 1 1 1, Dimension too high, 6, time: 0.2331390380859375s
6 2 2 : 4 1 1 1 1 1 1, Dimension too high, 8, time: 0.3754000663757324s
6 2 2 : 3 3 3 1, Dimension too high, 2, time: 0.0919640064239502s
